,images,labels
0,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214813_393528_353.png,0
1,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_222152_501718_106.png,5
2,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_2362.png,4
3,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_1800.png,3
4,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_2185.png,18
5,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_2188.png,18
6,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214813_393528_340.png,0
7,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_1571.png,2
8,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_2379.png,4
9,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_1996.png,17
10,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_1565.png,2
11,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_215528_398981_193.png,14
12,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214942_855291_147.png,12
13,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_232104_412588_664.png,10
14,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_003610_275004_851.png,7
15,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_283.png,15
16,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_15.png,1
17,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214942_855291_159.png,12
18,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_296.png,15
19,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_233454_314785_1075.png,11
20,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214942_855291_286.png,13
21,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_003610_275004_860.png,7
22,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_2385.png,4
23,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_1721.png,16
24,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214813_393528_356.png,0
25,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_222848_361898_2141.png,9
26,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_002101_701609_78.png,6
27,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_232104_412588_671.png,10
28,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_003610_275004_1367.png,8
29,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_2220.png,19
30,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210625_000227_518423_2373.png,4
31,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_214942_855291_313.png,13
32,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_232104_412588_659.png,10
33,org/openml/www/datasets/44252/MD_5_BIS_Micro/images/20210624_225938_245252_2168.png,18
