,images,labels
0,org/openml/www/datasets/44277/RSD_Micro/images/181197.png,9
1,org/openml/www/datasets/44277/RSD_Micro/images/32121.png,19
2,org/openml/www/datasets/44277/RSD_Micro/images/180106.png,10
3,org/openml/www/datasets/44277/RSD_Micro/images/164088.png,16
4,org/openml/www/datasets/44277/RSD_Micro/images/16755.png,12
5,org/openml/www/datasets/44277/RSD_Micro/images/198776.png,0
6,org/openml/www/datasets/44277/RSD_Micro/images/133560.png,12
7,org/openml/www/datasets/44277/RSD_Micro/images/171497.png,4
8,org/openml/www/datasets/44277/RSD_Micro/images/159108.png,3
9,org/openml/www/datasets/44277/RSD_Micro/images/14107.png,11
10,org/openml/www/datasets/44277/RSD_Micro/images/161202.png,17
11,org/openml/www/datasets/44277/RSD_Micro/images/85361.png,19
12,org/openml/www/datasets/44277/RSD_Micro/images/173223.png,6
13,org/openml/www/datasets/44277/RSD_Micro/images/37329.png,15
14,org/openml/www/datasets/44277/RSD_Micro/images/157878.png,16
15,org/openml/www/datasets/44277/RSD_Micro/images/83564.png,1
16,org/openml/www/datasets/44277/RSD_Micro/images/55433.png,16
17,org/openml/www/datasets/44277/RSD_Micro/images/113984.png,18
18,org/openml/www/datasets/44277/RSD_Micro/images/196110.png,5
19,org/openml/www/datasets/44277/RSD_Micro/images/114747.png,6
20,org/openml/www/datasets/44277/RSD_Micro/images/199276.png,15
21,org/openml/www/datasets/44277/RSD_Micro/images/140896.png,9
22,org/openml/www/datasets/44277/RSD_Micro/images/91998.png,13
23,org/openml/www/datasets/44277/RSD_Micro/images/193612.png,11
24,org/openml/www/datasets/44277/RSD_Micro/images/183603.png,0
25,org/openml/www/datasets/44277/RSD_Micro/images/83493.png,0
26,org/openml/www/datasets/44277/RSD_Micro/images/156654.png,8
27,org/openml/www/datasets/44277/RSD_Micro/images/67745.png,19
28,org/openml/www/datasets/44277/RSD_Micro/images/67519.png,2
29,org/openml/www/datasets/44277/RSD_Micro/images/181429.png,0
30,org/openml/www/datasets/44277/RSD_Micro/images/129286.png,9
31,org/openml/www/datasets/44277/RSD_Micro/images/24439.png,17
32,org/openml/www/datasets/44277/RSD_Micro/images/32960.png,2
33,org/openml/www/datasets/44277/RSD_Micro/images/78019.png,13
34,org/openml/www/datasets/44277/RSD_Micro/images/195391.png,3
35,org/openml/www/datasets/44277/RSD_Micro/images/187967.png,5
36,org/openml/www/datasets/44277/RSD_Micro/images/165403.png,10
37,org/openml/www/datasets/44277/RSD_Micro/images/168566.png,6
38,org/openml/www/datasets/44277/RSD_Micro/images/12158.png,11
39,org/openml/www/datasets/44277/RSD_Micro/images/149419.png,18
40,org/openml/www/datasets/44277/RSD_Micro/images/56929.png,12
41,org/openml/www/datasets/44277/RSD_Micro/images/46795.png,5
42,org/openml/www/datasets/44277/RSD_Micro/images/75819.png,7
43,org/openml/www/datasets/44277/RSD_Micro/images/198200.png,16
44,org/openml/www/datasets/44277/RSD_Micro/images/126734.png,10
