,images,labels
0,org/openml/www/datasets/44313/DOG_Micro/images/182093.jpg,14
1,org/openml/www/datasets/44313/DOG_Micro/images/86347.jpg,14
2,org/openml/www/datasets/44313/DOG_Micro/images/152140.jpg,10
3,org/openml/www/datasets/44313/DOG_Micro/images/100235.jpg,13
4,org/openml/www/datasets/44313/DOG_Micro/images/133372.jpg,5
5,org/openml/www/datasets/44313/DOG_Micro/images/170064.jpg,0
6,org/openml/www/datasets/44313/DOG_Micro/images/146620.jpg,4
7,org/openml/www/datasets/44313/DOG_Micro/images/198624.jpg,16
8,org/openml/www/datasets/44313/DOG_Micro/images/81008.jpg,11
9,org/openml/www/datasets/44313/DOG_Micro/images/91121.jpg,11
10,org/openml/www/datasets/44313/DOG_Micro/images/176960.jpg,17
11,org/openml/www/datasets/44313/DOG_Micro/images/79597.jpg,6
12,org/openml/www/datasets/44313/DOG_Micro/images/42275.jpg,17
13,org/openml/www/datasets/44313/DOG_Micro/images/170137.jpg,1
14,org/openml/www/datasets/44313/DOG_Micro/images/179145.jpg,2
15,org/openml/www/datasets/44313/DOG_Micro/images/31451.jpg,11
16,org/openml/www/datasets/44313/DOG_Micro/images/27617.jpg,9
17,org/openml/www/datasets/44313/DOG_Micro/images/184952.jpg,13
18,org/openml/www/datasets/44313/DOG_Micro/images/153927.jpg,12
19,org/openml/www/datasets/44313/DOG_Micro/images/49164.jpg,11
20,org/openml/www/datasets/44313/DOG_Micro/images/145489.jpg,14
21,org/openml/www/datasets/44313/DOG_Micro/images/159679.jpg,2
22,org/openml/www/datasets/44313/DOG_Micro/images/15924.jpg,0
23,org/openml/www/datasets/44313/DOG_Micro/images/48917.jpg,18
24,org/openml/www/datasets/44313/DOG_Micro/images/82648.jpg,1
25,org/openml/www/datasets/44313/DOG_Micro/images/133852.jpg,7
26,org/openml/www/datasets/44313/DOG_Micro/images/137628.jpg,15
27,org/openml/www/datasets/44313/DOG_Micro/images/134635.jpg,1
28,org/openml/www/datasets/44313/DOG_Micro/images/157410.jpg,18
29,org/openml/www/datasets/44313/DOG_Micro/images/189006.jpg,18
30,org/openml/www/datasets/44313/DOG_Micro/images/148911.jpg,12
31,org/openml/www/datasets/44313/DOG_Micro/images/118922.jpg,10
32,org/openml/www/datasets/44313/DOG_Micro/images/133927.jpg,13
33,org/openml/www/datasets/44313/DOG_Micro/images/149953.jpg,9
34,org/openml/www/datasets/44313/DOG_Micro/images/127489.jpg,16
35,org/openml/www/datasets/44313/DOG_Micro/images/157346.jpg,14
36,org/openml/www/datasets/44313/DOG_Micro/images/84016.jpg,8
37,org/openml/www/datasets/44313/DOG_Micro/images/41123.jpg,14
38,org/openml/www/datasets/44313/DOG_Micro/images/13624.jpg,14
39,org/openml/www/datasets/44313/DOG_Micro/images/116060.jpg,11
40,org/openml/www/datasets/44313/DOG_Micro/images/159386.jpg,8
41,org/openml/www/datasets/44313/DOG_Micro/images/162102.jpg,2
42,org/openml/www/datasets/44313/DOG_Micro/images/36137.jpg,14
43,org/openml/www/datasets/44313/DOG_Micro/images/82172.jpg,5
44,org/openml/www/datasets/44313/DOG_Micro/images/93588.jpg,14
45,org/openml/www/datasets/44313/DOG_Micro/images/149750.jpg,15
46,org/openml/www/datasets/44313/DOG_Micro/images/119520.jpg,2
47,org/openml/www/datasets/44313/DOG_Micro/images/197905.jpg,1
48,org/openml/www/datasets/44313/DOG_Micro/images/118055.jpg,2
49,org/openml/www/datasets/44313/DOG_Micro/images/20737.jpg,5
50,org/openml/www/datasets/44313/DOG_Micro/images/58259.jpg,7
51,org/openml/www/datasets/44313/DOG_Micro/images/131367.jpg,2
52,org/openml/www/datasets/44313/DOG_Micro/images/166085.jpg,15
53,org/openml/www/datasets/44313/DOG_Micro/images/47445.jpg,10
54,org/openml/www/datasets/44313/DOG_Micro/images/61851.jpg,14
55,org/openml/www/datasets/44313/DOG_Micro/images/98131.jpg,3
56,org/openml/www/datasets/44313/DOG_Micro/images/135462.jpg,5
57,org/openml/www/datasets/44313/DOG_Micro/images/35263.jpg,13
58,org/openml/www/datasets/44313/DOG_Micro/images/120996.jpg,4
59,org/openml/www/datasets/44313/DOG_Micro/images/30388.jpg,10
60,org/openml/www/datasets/44313/DOG_Micro/images/169115.jpg,4
61,org/openml/www/datasets/44313/DOG_Micro/images/21443.jpg,11
62,org/openml/www/datasets/44313/DOG_Micro/images/185240.jpg,4
63,org/openml/www/datasets/44313/DOG_Micro/images/46224.jpg,15
64,org/openml/www/datasets/44313/DOG_Micro/images/194005.jpg,12
65,org/openml/www/datasets/44313/DOG_Micro/images/22887.jpg,0
66,org/openml/www/datasets/44313/DOG_Micro/images/155078.jpg,13
67,org/openml/www/datasets/44313/DOG_Micro/images/172546.jpg,18
68,org/openml/www/datasets/44313/DOG_Micro/images/68170.jpg,11
69,org/openml/www/datasets/44313/DOG_Micro/images/54494.jpg,5
70,org/openml/www/datasets/44313/DOG_Micro/images/70742.jpg,16
71,org/openml/www/datasets/44313/DOG_Micro/images/175813.jpg,10
72,org/openml/www/datasets/44313/DOG_Micro/images/189348.jpg,3
73,org/openml/www/datasets/44313/DOG_Micro/images/46354.jpg,12
74,org/openml/www/datasets/44313/DOG_Micro/images/142223.jpg,9
75,org/openml/www/datasets/44313/DOG_Micro/images/168214.jpg,9
76,org/openml/www/datasets/44313/DOG_Micro/images/82045.jpg,10
77,org/openml/www/datasets/44313/DOG_Micro/images/181506.jpg,15
78,org/openml/www/datasets/44313/DOG_Micro/images/180881.jpg,15
79,org/openml/www/datasets/44313/DOG_Micro/images/69335.jpg,1
80,org/openml/www/datasets/44313/DOG_Micro/images/121606.jpg,0
81,org/openml/www/datasets/44313/DOG_Micro/images/130466.jpg,8
82,org/openml/www/datasets/44313/DOG_Micro/images/119543.jpg,15
83,org/openml/www/datasets/44313/DOG_Micro/images/12951.jpg,9
84,org/openml/www/datasets/44313/DOG_Micro/images/133056.jpg,12
85,org/openml/www/datasets/44313/DOG_Micro/images/131411.jpg,7
86,org/openml/www/datasets/44313/DOG_Micro/images/139063.jpg,1
87,org/openml/www/datasets/44313/DOG_Micro/images/59344.jpg,9
88,org/openml/www/datasets/44313/DOG_Micro/images/11362.jpg,1
89,org/openml/www/datasets/44313/DOG_Micro/images/115327.jpg,15
90,org/openml/www/datasets/44313/DOG_Micro/images/19495.jpg,10
91,org/openml/www/datasets/44313/DOG_Micro/images/78490.jpg,11
92,org/openml/www/datasets/44313/DOG_Micro/images/88459.jpg,18
93,org/openml/www/datasets/44313/DOG_Micro/images/90730.jpg,16
94,org/openml/www/datasets/44313/DOG_Micro/images/150949.jpg,11
95,org/openml/www/datasets/44313/DOG_Micro/images/182454.jpg,17
96,org/openml/www/datasets/44313/DOG_Micro/images/10538.jpg,4
97,org/openml/www/datasets/44313/DOG_Micro/images/67876.jpg,6
98,org/openml/www/datasets/44313/DOG_Micro/images/54211.jpg,7
99,org/openml/www/datasets/44313/DOG_Micro/images/105637.jpg,17
100,org/openml/www/datasets/44313/DOG_Micro/images/21725.jpg,17
